isbn,title,series,publisher,subject,subject_detail,grade,grade_min,grade_max,semester,level,price,image_url
9788900488555,"큐브수학 연산 초등 수학 5-2 (2026년) (2022 개정 교육과정, 전 단원 연산을 다잡는 기본서)",큐브 연산,동아출판,수학,연산,5,5,5,2,기본 1,11000,http://biblio.booxen.com/IMG_ISBN13/2025/12/9788900488555_L.jpg
9788900488678,특급기출 중학 영어 2-1 중간+기말 통합(윤정미)(2026) (2022개정 교육과정),특급기출 중학 영어,동아출판,영어,영어,8,8,8,1,중위 3,27000,http://biblio.booxen.com/IMG_ISBN13/2025/12/9788900488678_L.jpg
9788900488340,특급기출 중학 수학 2-1 1학기 통합 중간+기말(2026) (2022 개정 중학교 수학 교과서 점유율 1위),특급기출,동아출판,수학,수학,8,8,8,3,중위 5,20000,http://biblio.booxen.com/IMG_ISBN13/2025/12/9788900488340_L.jpg
9788900478945,수매씽 개념 중학 수학 2-1 (2026년) (내신을 위한 강력한 한 권! 2022 개정 교육과정),수매씽 개념,동아출판,수학,수학,8,8,8,1,기본 3,18000,http://biblio.booxen.com/IMG_ISBN13/2024/07/9788900478945_L.jpg
9788900481389,"HIGH TOP 하이탑 중학교 과학 1 (2026년용) (2022 개정 교육과정, 과학 고수들의 필독서)",하이탑,동아출판,과학,과학,7,7,7,1,상위 2,26000,http://biblio.booxen.com/IMG_ISBN13/2024/11/9788900481389_L.jpg
9788900464078,빠작 중학 국어 문학×비문학 독해 1 (문학 독해력과 비문학 독해력을 함께 키우는 독해 기본서),빠작 중학 국어 문학,동아출판,국어,독해/문해력,7,7,9,3,중위 1,13000,http://biblio.booxen.com/IMG_ISBN13/2022/04/9788900464078_L.jpg
9788900479058,"수매씽 유형 중학 수학 1-2 (2026년용) (2022 개정 교육과정, 내신을 위한 강력한 유형서)",수매씽 유형,동아출판,수학,수학,7,7,7,2,중위 4,20000,http://biblio.booxen.com/IMG_ISBN13/2024/07/9788900479058_L.jpg
9788900489989,동아 백점 초등 국어 6-1 (2026년) (2022 개정 교육과정),동아 백점,동아출판,국어,국어,6,6,6,1,중위 5,16000,http://biblio.booxen.com/IMG_ISBN13/2026/01/9788900489989_L.jpg
9788900489965,동아 백점 초등 국어 5-1 (2026년) (2022 개정 교육과정),동아 백점,동아출판,국어,국어,5,5,5,1,중위 5,16000,http://biblio.booxen.com/IMG_ISBN13/2026/01/9788900489965_L.jpg
9788900475586,빠작 초등 5~6학년 국어 어휘X독해 6단계 (독해력을 키우는 바른 어휘 학습),빠작 초등 국어,동아출판,국어,독해/문해력,5,5,6,3,중위 2,12000,http://biblio.booxen.com/IMG_ISBN13/2023/06/9788900475586_L.jpg
9788900490541,특급내신템 교과서 완성편 (윤정미) 중학영어 2-1 (2026년) (교과서 집필진이 개발한 특별한 내신 아이템),특급내신템,동아출판,영어,영어,8,8,8,1,중위 1,13000,http://biblio.booxen.com/IMG_ISBN13/2026/02/9788900490541_L.jpg
9788900490602,특급내신템 교과서 영단어편 중학 영어 1학년(2026) (교과서 집필진이 개발한 특별한 내신 아이템),특급내신템,동아출판,영어,어휘,7,7,7,3,중위 1,13000,http://biblio.booxen.com/IMG_ISBN13/2026/02/9788900490602_L.jpg
9788900490527,특급내신템 교과서 완성편 중학 영어 1-1(윤정미)(2026) (교과서 집필진이 개발한 특별한 내신 아이템),특급내신템,동아출판,영어,영어,7,7,7,1,중위 1,13000,http://biblio.booxen.com/IMG_ISBN13/2026/02/9788900490527_L.jpg
9788900490589,특급내신템 교과서 완성편 중학 영어 2-1(이병민)(2026) (교과서 집필진이 개발한 특별한 내신 아이템),특급내신템,동아출판,영어,영어,8,8,8,1,중위 1,13000,http://biblio.booxen.com/IMG_ISBN13/2026/02/9788900490589_L.jpg
9788900434927,60일 완성 뜯어먹는 중학 영단어 1800 (60일 완성),뜯어먹는 영단어,동아출판,영어,어휘,7,7,9,3,중위 4,11500,http://biblio.booxen.com/IMG_ISBN13/2023/05/9788900434927_L.jpg
9788900436259,"초능력 수학연산 초등 수학 3-2 (바른 계산, 빠른 연산!)",초능력 초등 수학,동아출판,수학,연산,3,3,3,2,기본 2,9000,http://biblio.booxen.com/IMG_ISBN13/2022/03/9788900436259_L.jpg
9788900478433,큐브 개념 초등 수학 1-2(2026) (교과서 개념을 다잡는 기본서),큐브 개념,동아출판,수학,수학,1,1,1,2,기본 4,16000,http://biblio.booxen.com/IMG_ISBN13/2024/03/9788900478433_L.jpg
9788900488593,"큐브 유형 초등 수학 5-2 (2026년) (모든 유형을 다잡는 기본서, 2022 개정 교육과정)",큐브 유형,동아출판,수학,수학,5,5,5,2,중위 3,16500,http://biblio.booxen.com/IMG_ISBN13/2026/02/9788900488593_L.jpg
9788900488609,"큐브 유형 초등 수학 6-2 (2026년) (모든 유형을 다잡는 기본서, 2022 개정 교육과정)",큐브 유형,동아출판,수학,수학,6,6,6,2,중위 3,16500,http://biblio.booxen.com/IMG_ISBN13/2026/02/9788900488609_L.jpg
9788900490282,"수매씽 개념연산 중학 수학 3-1 (2027년) (2022 개정 교육과정, 내신을 위한 강력한 한 권!)",수매씽 개념연산,동아출판,수학,연산,9,9,9,1,중위 3,14500,http://biblio.booxen.com/IMG_ISBN13/2026/02/9788900490282_L.jpg
9788900490619,특급내신템 교과서 영단어편 중학 영어 2학년(2026) (교과서 집필진이 개발한 특별한 내신 아이템),특급내신템,동아출판,영어,어휘,8,8,8,3,중위 1,14000,http://biblio.booxen.com/IMG_ISBN13/2026/02/9788900490619_L.jpg
9788900490299,"수매씽 개념연산 중학 수학 3-2 (2027년) (2022 개정 교육과정, 내신을 위한 강력한 한 권!)",수매씽 개념연산,동아출판,수학,연산,9,9,9,2,중위 3,14000,http://biblio.booxen.com/IMG_ISBN13/2026/02/9788900490299_L.jpg
9788900434330,초능력 국어 독해 4학년(4단계) (초등 국어 독해와 어휘를 한 번에!),초능력 국어 독해,동아출판,국어,독해/문해력,4,4,4,3,기본 4,11000,http://biblio.booxen.com/IMG_ISBN13/2024/02/9788900434330_L.jpg
9788900490480,빠작 중학 국어 문학 어휘 2(2026) (새 교육과정 교과서 문학 어휘 엄선 / 작품별 한 컷 이미지 / QR코드로 간편 복습),빠작 중학 국어 문학,동아출판,국어,독해/문해력,8,8,8,3,중위 1,13000,http://biblio.booxen.com/IMG_ISBN13/2026/03/9788900490480_L.jpg
9788900490503,빠작 중학 국어 비문학 어휘 2(2026) (새 교육과정 교과서 비문학 어휘 엄선 / 분야별 어휘 지도 / QR코드로 간편 복습),빠작 중학 국어 비문학,동아출판,국어,독해/문해력,8,8,8,3,중위 1,13000,http://biblio.booxen.com/IMG_ISBN13/2026/03/9788900490503_L.jpg
9788900490763,동아 백점 초등 수학 5-2 (2026년) (2022 개정 교육과정),동아 백점,동아출판,수학,수학,5,5,5,2,중위 5,17000,http://biblio.booxen.com/IMG_ISBN13/2026/03/9788900490763_L.jpg
9788900490770,동아 백점 초등 수학 6-2 (2026년) (2022 개정 교육과정),동아 백점,동아출판,수학,수학,6,6,6,2,중위 5,17000,http://biblio.booxen.com/IMG_ISBN13/2026/03/9788900490770_L.jpg
9788900490725,하이탑 내신 탑티어 중학교 과학 2-2(2026) (1등급으로 티어 오르는 과학 내신서),하이탑,동아출판,과학,과학,8,8,8,2,상위 2,19500,http://biblio.booxen.com/IMG_ISBN13/2026/03/9788900490725_L.jpg
9788900477382,큐브 개념 초등 수학 1-1(2026) (교과서 개념을 다잡는 기본서),큐브 개념,동아출판,수학,수학,1,1,1,1,기본 4,16000,http://biblio.booxen.com/IMG_ISBN13/2023/12/9788900477382_L.jpg
9788900491111,"HIGH TOP 하이탑 초등 과학 6-2 (2026년) (2022 개정 교육과정, 초등 과학 개념서)",하이탑,동아출판,과학,과학,6,6,6,2,상위 2,16000,http://biblio.booxen.com/IMG_ISBN13/2026/04/9788900491111_L.jpg
